,Formula_Index,pH_Value
0,525.0,7.9
1,505.0,7.9
2,542.0,7.9
3,528.0,7.9
4,579.0,7.7
5,547.0,7.7
6,544.0,8.0
7,496.0,8.0
8,567.0,7.7
9,533.0,7.7
10,464.0,8.2
11,525.0,8.2
12,532.0,7.7
13,512.0,7.7
14,534.0,7.7
15,534.0,7.7
16,480.0,7.8
17,514.0,7.8
18,485.0,7.8
19,445.0,7.8
20,502.0,7.9
21,486.0,7.9
22,521.0,7.9
23,531.0,7.9
24,554.0,7.9
25,530.0,7.9
26,518.0,7.9
27,584.0,7.9
28,536.0,7.9
29,557.0,7.9
30,541.0,7.7
31,543.0,7.7
32,570.0,8.0
33,543.0,8.0
34,515.0,7.9
35,533.0,7.9
36,505.0,7.6
37,531.0,7.6
38,508.0,7.8
39,481.0,7.8
40,488.0,8.0
41,469.0,8.0
42,541.0,7.7
43,523.0,7.7
44,539.0,8.1
45,524.0,8.1
46,533.0,7.9
47,563.0,7.9
48,545.0,8.2
49,549.0,8.2
50,565.0,7.8
51,552.0,7.8
52,536.0,7.7
53,384.0,7.7
54,527.0,7.8
55,439.0,7.8
56,385.0,7.9
57,384.0,7.9
58,379.0,8.2
59,458.0,8.2
60,360.0,7.9
61,400.0,7.9
62,418.0,7.9
63,435.0,7.9
64,402.0,7.7
65,455.0,7.7
66,496.0,8.0
67,568.0,8.0
68,512.0,7.9
69,568.0,7.9
70,554.0,7.9
71,429.0,7.9
72,535.0,7.6
73,517.0,7.6
74,562.0,7.9
75,571.0,7.9
76,540.0,7.6
77,553.0,7.6
78,500.0,7.8
79,562.0,7.8
80,445.0,7.9
81,474.0,7.9
82,518.0,8.1
83,561.0,8.1
84,519.0,7.9
85,516.0,7.9
86,496.0,7.6
87,569.0,7.6
88,464.0,8.0
89,573.0,8.0
90,528.0,7.9
91,535.0,7.9
92,560.0,7.7
93,548.0,7.7
94,539.0,8.0
95,503.0,8.0
96,523.0,8.1
97,535.0,8.1
98,528.0,8.0
99,520.0,8.0
100,502.0,7.9
101,390.0,7.9
102,458.0,7.9
103,437.0,7.9
104,482.0,8.0
105,408.0,8.0
106,401.0,7.9
107,398.0,7.9
108,540.0,7.9
109,388.0,7.9
110,360.0,8.0
111,358.0,8.0
112,405.0,7.8
113,274.0,7.8
114,517.0,7.7
115,394.0,7.7
116,453.0,7.7
117,366.0,7.7
118,351.0,7.6
119,496.0,7.6
120,281.0,7.7
121,487.0,7.7
122,400.0,7.8
123,478.0,7.8
124,443.0,7.7
125,510.0,7.7
126,405.0,7.7
127,275.0,7.7
128,445.0,7.8
129,429.0,7.8
130,441.0,7.7
131,387.0,7.7
132,429.0,7.7
133,376.0,7.7
134,438.0,7.6
135,484.0,7.6
136,539.0,7.9
137,536.0,7.9
138,415.0,8.01
139,329.0,8.01
140,391.0,7.7
141,382.0,7.7
142,540.0,7.7
143,529.0,7.7
144,536.0,7.9
145,566.0,7.9
146,528.0,7.4
147,552.0,7.4
148,552.0,7.7
149,570.0,7.7
150,576.0,7.4
151,525.0,7.4
152,542.0,7.8
153,529.0,7.8
154,530.0,7.9
155,506.0,7.9
156,503.0,8.2
157,527.0,8.2
158,521.0,7.9
159,539.0,7.9
160,469.0,7.8
161,497.0,7.8
162,537.0,7.8
163,520.0,7.8
164,433.0,7.6
165,505.0,7.6
166,413.0,7.7
167,410.0,7.7
168,416.0,7.6
169,511.0,7.6
170,342.0,8.0
171,295.0,8.0
172,371.0,7.7
173,343.0,7.7
174,482.0,7.8
175,482.0,7.8
176,383.0,7.5
177,515.0,7.5
178,446.0,7.6
179,419.0,7.6
180,429.0,7.5
181,400.0,7.5
182,300.0,7.7
183,378.0,7.7
184,430.0,7.8
185,383.0,7.8
186,392.0,7.7
187,353.0,7.7
188,272.0,7.8
189,348.0,7.8
190,427.0,7.7
191,461.0,7.7
192,472.0,7.8
193,404.0,7.8
194,419.0,7.7
195,477.0,7.7
196,408.0,7.7
197,377.0,7.7
198,338.0,7.7
199,423.0,7.7
200,440.0,7.7
201,417.0,7.7
202,550.0,7.9
203,481.0,7.9
204,498.0,7.9
205,337.0,7.9
206,414.0,7.6
207,377.0,7.6
208,495.0,7.6
209,378.0,7.6
210,330.0,7.8
211,533.0,7.8
212,545.0,7.9
213,506.0,7.9
214,534.0,7.4
215,546.0,7.4
216,530.0,8.0
217,542.0,8.0
218,546.0,7.8
219,496.0,7.8
220,550.0,7.9
221,541.0,7.9
222,542.0,8.1
223,542.0,8.1
224,552.0,7.7
225,558.0,7.7
226,519.0,7.9
227,527.0,7.9
228,411.0,8.1
229,534.0,8.1
230,530.0,7.8
231,567.0,7.8
232,399.0,7.8
233,426.0,7.8
234,451.0,7.6
235,377.0,7.6
236,561.0,8.1
237,548.0,8.1
238,428.0,8.1
239,521.0,8.1
240,496.0,7.9
241,414.0,7.9
242,486.0,7.8
243,482.0,7.8
244,556.0,8.2
245,541.0,8.2
246,443.0,7.9
247,494.0,7.9
248,500.0,8.2
249,467.0,8.2
250,568.0,8.2
251,475.0,8.2
252,462.0,8.0
253,462.0,8.0
254,505.0,8.0
255,505.0,8.0
256,498.0,7.4
257,547.0,7.4
258,544.0,7.6
259,502.0,7.6
260,510.0,7.5
261,565.0,7.5
262,540.0,8.0
263,540.0,8.0
264,508.0,8.0
265,508.0,8.0
266,528.0,7.9
267,487.0,7.9
268,578.0,7.8
269,552.0,7.8
270,545.0,8.0
271,573.0,8.0
272,432.0,7.6
273,432.0,7.6
274,434.0,7.6
275,434.0,7.6
276,556.0,7.7
277,529.0,7.7
278,440.0,7.7
279,540.0,7.7
280,429.0,7.9
281,429.0,7.9
282,465.0,7.9
283,465.0,7.9
284,571.0,8.1
285,571.0,8.1
286,560.0,8.1
287,560.0,8.1
288,453.0,8.1
289,453.0,8.1
290,519.0,8.1
291,519.0,8.1
292,361.0,8.0
293,361.0,8.0
294,379.0,8.0
295,379.0,8.0
296,530.0,7.6
297,530.0,7.6
298,505.0,7.6
299,505.0,7.6
300,330.0,7.9
301,330.0,7.9
302,421.0,7.9
303,421.0,7.9
304,475.0,7.7
305,475.0,7.7
306,478.0,7.7
307,478.0,7.7
308,442.0,7.9
309,442.0,7.9
310,449.0,7.9
311,449.0,7.9
312,445.0,8.0
313,445.0,8.0
314,397.0,8.0
315,397.0,8.0
316,493.0,7.8
317,493.0,7.8
318,450.0,7.8
319,450.0,7.8
320,528.0,7.7
321,528.0,7.7
322,528.0,7.7
323,528.0,7.7
324,465.0,7.9
325,465.0,7.9
326,530.0,7.9
327,530.0,7.9
328,508.0,8.0
329,508.0,8.0
330,437.0,8.0
331,437.0,8.0
332,533.0,8.0
333,533.0,8.0
334,463.0,8.0
335,463.0,8.0
336,488.0,8.0
337,488.0,8.0
338,478.0,8.0
339,478.0,8.0
340,371.0,7.6
341,371.0,7.6
342,338.0,7.6
343,338.0,7.6
344,419.0,7.5
345,419.0,7.5
346,384.0,7.5
347,384.0,7.5
348,488.0,7.9
349,488.0,7.9
350,485.0,7.9
351,485.0,7.9
352,452.0,7.9
353,452.0,7.9
354,431.0,7.9
355,431.0,7.9
356,402.0,7.8
357,402.0,7.8
358,487.0,7.8
359,487.0,7.8
360,343.0,8.0
361,343.0,8.0
362,447.0,8.0
363,447.0,8.0
364,359.0,7.8
365,359.0,7.8
366,455.0,7.8
367,455.0,7.8
368,505.0,7.9
369,505.0,7.9
370,465.0,7.9
371,465.0,7.9
372,433.0,7.9
373,433.0,7.9
374,555.0,7.9
375,555.0,7.9
376,488.0,7.8
377,488.0,7.8
378,505.0,7.8
379,505.0,7.8
380,404.0,7.9
381,404.0,7.9
382,506.0,7.9
383,506.0,7.9
384,417.0,7.8
385,417.0,7.8
386,363.0,7.8
387,363.0,7.8
388,404.0,7.7
389,404.0,7.7
390,486.0,7.7
391,486.0,7.7
392,465.0,8.2
393,465.0,8.2
394,481.0,7.7
395,481.0,7.7
396,484.0,7.7
397,484.0,7.7
398,525.0,7.9
399,525.0,7.9
400,526.0,7.9
401,526.0,7.9
402,492.0,7.7
403,492.0,7.7
404,503.0,7.7
405,503.0,7.7
406,508.0,7.9
407,508.0,7.9
408,552.0,7.9
409,552.0,7.9
410,495.0,7.9
411,495.0,7.9
412,490.0,7.9
413,490.0,7.9
414,523.0,7.8
415,523.0,7.8
416,528.0,7.8
417,528.0,7.8
418,484.0,7.7
419,484.0,7.7
420,483.0,7.7
421,483.0,7.7
422,482.0,7.9
423,496.5,7.9
424,528.0,8.1
425,511.0,8.1
426,544.0,7.9
427,527.0,7.9
428,504.0,7.9
429,504.0,7.9
430,352.0,7.9
431,352.0,7.9
432,502.0,7.7
433,526.0,7.7
434,404.0,7.7
435,477.0,7.7
436,528.0,8.0
437,506.0,8.0
438,483.0,8.0
439,483.0,8.0
440,523.0,8.0
441,523.0,8.0
442,476.0,8.0
443,476.0,8.0
444,485.0,8.0
445,485.0,8.0
446,469.0,7.7
447,469.0,7.7
448,554.0,7.7
449,554.0,7.7
450,516.0,7.8
451,522.0,7.8
452,552.0,8.0
453,565.0,8.0
454,457.0,7.7
455,505.0,7.7
456,549.0,7.9
457,498.0,7.9
458,424.0,8.0
459,526.0,8.0
460,431.0,8.0
461,431.0,8.0
462,353.0,8.0
463,353.0,8.0
464,468.0,7.6
465,468.0,7.6
466,571.0,7.6
467,571.0,7.6
468,523.0,7.6
469,523.0,7.6
470,428.0,7.6
471,428.0,7.6
472,534.0,7.6
473,534.0,7.6
474,528.0,7.6
475,528.0,7.6
476,398.0,7.8
477,398.0,7.8
478,506.0,7.8
479,506.0,7.8
480,474.0,7.9
481,466.0,7.9
482,537.0,8.2
483,530.0,8.2
484,466.0,7.8
485,490.0,7.8
486,442.0,7.7
487,442.0,7.7
488,442.0,7.7
489,442.0,7.7
490,465.0,8.2
491,465.0,8.2
492,507.0,8.2
493,507.0,8.2
494,380.0,7.9
495,380.0,7.9
496,338.5,7.9
497,338.5,7.9
498,488.0,8.0
499,488.0,8.0
500,379.0,8.0
501,379.0,8.0
502,523.0,7.8
503,523.0,7.8
504,475.0,7.8
505,475.0,7.8
506,522.0,8.2
507,522.0,8.2
508,477.0,8.2
509,477.0,8.2
510,447.0,7.7
511,471.0,7.7
512,381.0,7.9
513,438.0,7.9
514,419.0,7.9
515,419.0,7.9
516,455.0,7.9
517,455.0,7.9
518,480.0,7.8
519,451.0,7.8
520,497.0,7.8
521,547.0,7.8
522,463.0,8.2
523,507.0,8.2
524,421.0,7.5
525,556.0,7.5
526,520.0,8.0
527,578.0,8.0
528,543.0,7.5
529,542.0,7.5
530,454.0,7.4
531,410.0,7.4
532,437.0,7.5
533,437.0,7.5
534,515.0,7.5
535,515.0,7.5
536,543.0,7.8
537,545.0,7.8
538,467.0,7.8
539,541.0,7.8
540,564.0,7.9
541,559.0,7.9
542,548.0,7.9
543,548.0,7.9
544,490.0,7.9
545,490.0,7.9
546,484.0,7.9
547,484.0,7.9
548,436.0,7.9
549,436.0,7.9
550,501.0,8.2
551,501.0,8.2
552,550.0,8.2
553,550.0,8.2
554,496.0,7.8
555,515.0,7.8
556,526.0,7.5
557,526.0,7.5
558,502.0,8.1
559,502.0,8.1
560,429.0,8.1
561,429.0,8.1
562,447.0,7.7
563,447.0,7.7
564,550.0,7.8
565,550.0,7.8
566,384.0,7.6
567,384.0,7.6
568,371.0,7.6
569,371.0,7.6
570,490.0,7.8
571,490.0,7.8
572,509.0,7.8
573,509.0,7.8
574,516.0,7.9
575,516.0,7.9
576,476.0,7.9
577,476.0,7.9
578,543.0,7.7
579,488.0,7.7
580,498.0,8.0
581,484.0,8.0
582,518.0,7.9
583,445.0,7.9
584,471.0,7.5
585,471.0,7.5
586,533.0,7.5
587,533.0,7.5
588,302.0,7.9
589,302.0,7.9
590,287.0,7.9
591,287.0,7.9
592,426.0,8.0
593,426.0,8.0
594,512.0,8.0
595,512.0,8.0
596,464.0,7.6
597,464.0,7.6
598,475.0,7.6
599,475.0,7.6
600,448.0,7.7
601,457.0,7.7
602,557.0,7.9
603,549.0,7.9
604,567.0,7.9
605,567.0,7.9
606,491.0,7.9
607,491.0,7.9
608,478.0,7.3
609,531.0,7.3
610,420.0,7.6
611,420.0,7.6
612,481.0,7.6
613,481.0,7.6
614,296.0,7.8
615,296.0,7.8
616,301.0,7.8
617,301.0,7.8
618,490.0,7.9
619,490.0,7.9
620,556.0,7.9
621,556.0,7.9
622,444.0,8.0
623,444.0,8.0
624,421.0,8.0
625,421.0,8.0
626,534.0,7.6
627,534.0,7.6
628,503.0,8.1
629,503.0,8.1
630,516.0,7.8
631,516.0,7.8
632,525.0,7.8
633,525.0,7.8
634,528.0,7.9
635,528.0,7.9
636,479.0,7.9
637,479.0,7.9
638,448.0,7.9
639,496.0,7.9
640,416.0,8.2
641,473.0,8.2
642,466.0,7.9
643,454.0,7.9
644,534.0,7.9
645,422.0,7.9
646,474.0,8.2
647,474.0,8.2
648,406.0,7.7
649,427.0,7.7
650,362.0,7.8
651,506.0,7.8
652,246.0,7.7
653,303.0,7.7
654,365.0,7.6
655,373.0,7.6
656,439.0,7.8
657,400.0,7.8
658,381.0,7.6
659,419.0,7.6
660,276.0,7.7
661,333.0,7.7
662,379.0,7.6
663,374.0,7.6
664,375.0,7.6
665,362.0,7.6
666,363.0,7.7
667,359.0,7.7
668,367.0,7.7
669,347.0,7.7
670,152.0,7.8
671,377.0,7.8
672,454.0,8.0
673,387.0,8.0
674,415.0,7.8
675,277.0,7.8
676,300.0,7.7
677,298.0,7.7
678,426.0,7.9
679,430.0,7.9
680,245.0,8.0
681,312.0,8.0
682,536.0,7.6
683,546.0,7.6
684,565.0,8.1
685,551.0,8.1
686,367.0,7.8
687,504.0,7.8
688,608.0,7.8
689,604.0,7.8
690,541.0,8.0
691,466.0,8.0
692,471.0,7.8
693,501.0,7.8
694,496.0,7.6
695,510.0,7.6
696,511.0,8.0
697,511.0,8.0
698,331.0,7.9
699,259.0,7.9
700,312.0,7.8
701,200.0,7.8
702,426.0,7.9
703,392.0,7.9
704,238.0,8.0
705,373.0,8.0
706,384.0,8.0
707,360.0,8.0
708,385.0,7.8
709,405.0,7.8
710,305.0,8.1
711,340.0,8.1
712,344.0,7.9
713,371.0,7.9
714,512.0,7.9
715,527.0,7.9
716,550.0,7.8
717,589.5,7.8
718,508.0,8.1
719,532.0,8.1
720,512.0,7.7
721,523.0,7.7
722,445.0,8.0
723,416.0,8.0
724,346.0,8.0
725,354.0,8.0
726,222.0,7.9
727,401.0,7.9
728,273.0,8.0
729,309.0,8.0
730,316.0,8.0
731,301.0,8.0
732,440.0,8.0
733,262.0,8.0
734,441.0,7.8
735,390.0,7.8
736,416.0,7.9
737,379.0,7.9
738,260.0,8.1
739,372.0,8.1
740,376.0,7.9
741,295.0,7.9
742,312.0,7.9
743,323.0,7.9
744,447.0,8.0
745,364.0,8.0
746,407.0,7.9
747,473.0,7.9
748,411.0,7.9
749,474.0,7.9
750,376.0,7.9
751,378.0,7.9
752,471.0,7.8
753,437.0,7.8
754,465.0,7.9
755,435.0,7.9
756,354.0,7.8
757,335.0,7.8
758,429.0,7.7
759,457.0,7.7
760,431.0,8.0
761,420.0,8.0
762,364.0,7.6
763,412.0,7.6
764,515.0,8.1
765,476.0,8.1
766,369.0,7.8
767,325.0,7.8
768,388.0,7.8
769,519.0,7.8
770,478.0,8.0
771,446.0,8.0
772,417.0,7.8
773,529.0,7.8
774,527.0,7.8
775,517.0,7.8
776,418.0,7.8
777,480.0,7.8
778,549.0,7.7
779,526.0,7.7
780,540.0,7.6
781,496.0,7.6
782,520.0,7.8
783,512.0,7.8
784,483.0,7.6
785,531.0,7.6
786,448.0,7.7
787,521.0,7.7
788,410.0,7.6
789,369.0,7.6
790,329.0,7.4
791,367.0,7.4
792,252.0,7.4
793,409.0,7.4
794,325.0,7.6
795,472.0,7.6
796,486.0,7.7
797,537.0,7.7
798,532.0,7.5
799,542.0,7.5
800,545.0,7.8
801,449.0,7.8
802,492.0,7.5
803,531.0,7.5
804,556.0,7.5
805,530.0,7.5
806,564.0,7.7
807,569.0,7.7
808,545.0,7.8
809,555.0,7.8
810,524.0,7.8
811,556.0,7.8
812,541.0,7.7
813,543.0,7.7
814,486.0,7.6
815,484.0,7.6
816,323.0,7.6
817,490.0,7.6
818,295.0,7.4
819,462.0,7.4
820,285.0,8.0
821,383.0,8.0
822,353.0,7.8
823,327.0,7.8
824,405.0,7.9
825,376.0,7.9
826,422.0,8.0
827,414.0,8.0
828,481.0,7.8
829,462.0,7.8
830,379.0,8.0
831,363.0,8.0
832,558.0,7.7
833,524.0,7.7
834,442.0,7.8
835,525.0,7.8
836,415.0,7.8
837,300.0,7.8
838,549.0,7.7
839,567.0,7.7
840,528.0,7.8
841,504.5,7.8
842,522.0,7.6
843,535.0,7.6
844,520.0,7.7
845,541.0,7.7
846,526.0,7.8
847,514.0,7.8
848,546.0,7.9
849,541.0,7.9
850,533.0,7.8
851,540.0,7.8
852,376.0,8.0
853,428.0,8.0
854,396.0,7.7
855,491.0,7.7
856,494.0,7.8
857,516.0,7.8
858,486.0,7.8
859,488.0,7.8
860,537.0,7.6
861,493.0,7.6
862,508.0,7.7
863,531.0,7.7
864,540.0,7.8
865,543.0,7.8
866,533.0,8.0
867,514.0,8.0
868,589.0,7.7
869,530.0,7.7
870,536.0,8.0
871,547.0,8.0
872,455.0,7.8
873,419.0,7.8
874,414.0,7.8
875,262.0,7.8
876,300.0,7.8
877,254.0,7.8
878,362.0,7.8
879,337.0,7.8
880,507.0,7.7
881,520.0,7.7
882,532.0,7.7
883,526.0,7.7
884,507.0,7.7
885,494.0,7.7
886,504.0,7.5
887,530.0,7.5
888,562.0,7.6
889,548.0,7.6
890,549.0,7.7
891,499.0,7.7
892,522.0,7.7
893,574.0,7.7
894,566.5,7.6
895,473.0,7.6
896,513.0,7.6
897,551.0,7.7
898,551.0,7.7
899,531.0,7.9
900,529.0,7.9
901,512.0,7.7
902,514.0,7.7
903,555.0,7.6
904,584.0,7.6
905,521.0,7.7
906,528.0,7.7
907,491.0,7.6
908,512.0,7.6
909,522.0,7.9
910,440.0,7.9
911,505.0,7.6
912,518.0,7.6
913,543.0,7.7
914,512.0,7.7
915,161.0,7.5
916,254.0,7.5
917,520.0,7.6
918,549.0,7.6
919,557.0,7.6
920,565.0,7.6
921,529.0,7.8
922,528.0,7.8
923,619.0,7.8
924,477.0,7.8
925,548.0,7.7
926,524.0,7.7
927,547.0,7.8
928,525.0,7.8
929,483.0,7.7
930,547.0,7.7
931,519.0,7.9
932,516.0,7.9
933,558.0,7.8
934,499.0,7.8
935,499.0,7.6
936,517.0,7.6
937,533.0,7.6
938,516.0,7.7
939,545.0,7.7
940,618.0,7.5
941,584.0,7.5
942,385.0,8.0
943,379.0,8.0
944,325.0,8.1
945,350.0,8.1
946,323.0,8.0
947,205.0,8.0
948,366.0,8.2
949,321.0,8.2
950,281.0,8.2
951,422.0,8.2
952,405.0,8.3
953,379.0,8.3
954,386.0,8.1
955,315.0,8.1
956,336.0,8.0
957,405.0,8.0
958,535.0,7.6
959,517.0,7.6
960,434.0,7.9
961,502.0,7.9
962,480.0,7.9
963,511.0,7.9
964,512.0,7.7
965,533.0,7.7
966,526.0,7.7
967,508.0,7.7
968,570.0,7.5
969,533.0,7.5
970,553.0,7.7
971,411.0,7.7
972,537.0,7.6
973,495.0,7.6
974,518.0,7.9
975,515.0,7.9
976,553.0,7.8
977,510.0,7.8
978,373.0,8.0
979,417.0,8.0
980,233.0,8.0
981,277.0,8.0
982,404.0,8.2
983,449.0,8.2
984,431.0,8.2
985,440.0,8.2
986,407.0,7.9
987,388.0,7.9
988,325.0,8.0
989,355.0,8.0
990,221.0,7.9
991,312.0,7.9
992,429.0,8.0
993,329.0,8.0
994,508.0,7.8
995,561.0,7.5
996,468.0,7.5
997,547.0,7.8
998,506.0,7.8
999,512.0,7.8
1000,500.0,7.8
1001,548.0,7.7
1002,520.0,7.7
1003,474.0,7.9
1004,550.0,7.9
1005,457.0,7.5
1006,502.0,7.5
1007,521.0,7.8
1008,497.0,7.8
1009,526.0,7.4
1010,525.0,7.4
1011,385.0,7.8
1012,559.0,7.8
1013,550.0,7.6
1014,486.0,7.6
1015,384.0,7.9
1016,221.0,7.9
1017,425.0,8.0
1018,370.0,8.0
1019,381.0,8.1
1020,280.0,8.1
1021,371.0,8.2
1022,289.0,8.2
1023,341.0,7.8
1024,377.0,7.8
1025,230.0,8.0
1026,408.0,8.0
1027,335.0,7.3
1028,347.0,7.3
1029,355.0,7.5
1030,511.0,7.5
1031,436.0,7.8
1032,414.0,7.8
1033,311.0,7.7
1034,355.0,7.7
1035,431.0,7.8
1036,397.0,7.8
1037,354.0,7.3
1038,321.0,7.3
1039,420.0,7.7
1040,295.0,7.7
1041,382.0,8.0
1042,364.0,8.0
1043,293.0,7.8
1044,328.0,7.8
1045,413.0,7.8
1046,366.0,7.8
1047,355.0,7.7
1048,324.0,7.7
1049,263.0,7.9
1050,278.0,7.9
1051,399.0,7.6
1052,407.0,7.8
1053,555.0,7.9
1054,471.0,7.9
1055,462.0,7.8
1056,528.0,7.8
1057,486.0,7.6
1058,307.0,7.9
1059,347.0,7.9
1060,310.0,7.7
1061,397.0,7.7
1062,262.5,7.7
1063,365.0,7.7
