Sample ID,Depth (Cm),PH (1:1),ECe (1:1)(mS/cm),OM %,P (ppm),,
124261,I,8,1.23,0.58,4,,
124259,O,8.1,1.54,0.7,5.8,,
124259,I,7.8,1.4,0.5,6,,
124258,O,7.9,0.88,0.43,5.5,,
124258,I,7.9,0.8,0.4,5,,
124118,O,8,1.01,0.76,4.5,,
124118,I,7.9,0.93,0.7,4,,
124260,O,7.7,1.15,0.5,4.2,,
124260,I,7.5,1.02,0.44,3.9,,
124120,O,7.6,0.93,0.8,5.4,,
124120,I,7.5,1.04,0.6,5.1,,
124121,O,8,1.1,0.6,4.6,,
124121,I,8.1,0.92,5.3,4.1,,
124072,O,7.7,0.75,0.4,5,,
124072,I,7.4,0.55,0.5,4.3,,
124147,O,8.1,0.71,0.67,5.6,,
124147,I,8,0.82,0.6,5,,
124146,O,7.9,0.71,0.62,5.2,,
124146,I,7.8,0.6,0.54,5,,
124039,O,8,0.65,4.3,4.2,,
124039,I,7.9,0.83,0.26,4,,
124255,O,7.9,1.02,0.54,5.2,,
124255,I,7.8,1.4,0.5,4.7,,
124257,O,7.9,1.23,0.7,5,,
124257,I,7.7,1.01,0.64,5,,
124090,O,8.1,0.54,0.82,6.1,,
124090,I,8,0.34,0.8,5.5,,
124092,O,8.1,0.85,0.6,7.4,,
124092,I,8.1,0.55,0.55,5.5,,
124093,O,8.1,0.88,0.6,6,,
124093,I,8,0.62,0.72,5.3,,
110749,O,7.9,1.3,0.5,6,,
110749,I,7.9,0.92,0.49,5.5,,
124013,O,7.9,1.2,0.5,4.1,,
124013,I,7.6,0.92,0.5,4,,
124041,O,7.8,1.1,0.4,4.9,,
124041,I,7.7,0.95,0.38,4,,
123930,O,7.6,1.09,0.88,5,,June-2021
123930,I,7.7,1.01,0.91,5.1,,
123931,O,7.7,0.94,0.62,5.5,,
123931,I,7.7,0.96,0.67,5.3,,
123932,O,7.5,1.22,0.72,5.1,,
123932,I,7.5,0.96,0.57,4.7,,
123933,O,7.8,1.09,0.56,5.5,,
123933,I,7.8,1,0.6,5.3,,
123935,O,7.5,1.01,0.7,5.1,,
123935,I,7.6,0.93,0.62,5.5,,
123936,O,7.7,0.93,0.63,5.5,,
123936,I,7.6,0.73,0.53,5.6,,
123937,O,7.8,0.75,0.51,6.2,,
123937,I,7.7,0.93,0.5,6.5,,
123938,O,7.8,1.93,0.5,5.5,,
123938,I,7.8,1.74,0.43,5,,
123939,O,7.7,1.21,0.72,5.2,,
123939,I,7.6,1.1,0.64,5.5,,
123940,O,7.6,1.03,0.55,4.8,,
123940,I,7.6,0.97,0.52,5.1,,
123941,O,7.6,1.12,0.6,5.1,,
123941,I,7.7,0.98,0.57,5.4,,
123950,O,7.7,1.02,0.61,5.2,,
123950,I,7.6,0.97,0.6,5.5,,
123951,O,7.8,0.93,0.61,5.6,,
123951,I,7.7,1.08,0.63,5.4,,
123953,O,7.7,0.91,0.43,5.2,,
123953,I,7.6,0.88,0.51,5,,
123956,O,7.7,1.01,0.48,5.2,,
123956,I,7.6,0.8,0.51,5,,
123957,O,7.8,0.82,0.57,4.6,,
123957,I,7.7,0.61,0.55,4.5,,
123959,O,7.8,0.431,0.63,5.2,,
123959,I,7.9,0.45,0.5,5.5,,
123961,O,7.8,1.12,0.31,4.4,,
123961,I,7.7,1.29,0.3,4.5,,
123962,O,7.8,0.9,0.59,5,,
123962,I,7.8,0.93,0.61,5.2,,
123963,O,7.8,0.96,0.52,5.5,,
123963,I,7.8,1.14,0.54,5,,
123964,O,7.7,1.12,0.55,4.6,,
123964,I,7.6,1.21,0.5,4.1,,
123965,O,7.7,0.32,0.61,4.5,,
123965,I,7.7,0.351,0.6,4.7,,
123922,O,7.6,1.13,0.34,4.3,,
123922,I,7.6,1.41,0.41,4.5,,
123923,O,7.8,0.98,0.72,4.9,,
123923,I,7.7,1.25,0.67,5.1,,
123924,O,7.6,1.14,0.62,4.8,,
123924,I,7.7,1.67,0.52,5,,
123925,O,7.7,1.62,0.67,4.8,,
123925,I,7.8,0.83,0.6,4.2,,
123918,O,7.7,0.71,0.57,5.2,,
123918,I,7.7,0.96,0.56,5.5,,
123919,O,7.8,0.85,0.78,5.2,,
123919,I,7.7,0.89,0.72,5.3,,
123920,O,7.8,0.91,0.62,5.6,,
123920,I,7.8,0.81,0.26,4,,
123921,O,7.7,0.96,0.21,4.2,,
123921,I,7.7,1.23,0.36,4.1,,
123922,O,7.6,1.68,0.26,4.2,,
123922,I,7.7,0.94,0.52,5,,
123923,O,7.6,1.6,0.57,4.2,,
123923,I,7.6,1.76,0.52,4.6,,
123924,O,7.7,1.95,0.47,4.8,,
123924,I,7.7,1.69,0.57,5.8,,
123925,O,7.6,1.5,0.62,4.8,,
123925,I,7.6,2.26,0.6,4.5,,
123930,O,7.7,1.95,0.54,4.6,,
123930,I,7.7,0.93,0.55,4.9,,
123931,O,7.6,1.01,0.5,5,,
123931,I,7.7,2.07,0.52,4.2,,
123932,O,7.7,2.17,0.57,4.5,,
123932,I,7.7,1.16,0.55,4.2,,
123933,O,7.6,1.29,0.48,4,,
123933,I,7.7,2.46,0.51,4.1,,
123934,O,7.5,0.85,0.5,4.2,,
123934,I,7.5,0.67,0.52,5,,
123935,O,7.7,0.44,0.57,5.2,,
123935,I,7.6,0.53,0.41,5.4,,
123936,O,7.9,1.13,0.47,4.9,,
123936,I,7.8,1.08,0.64,4,,
123938,O,7.7,0.98,0.6,4.2,,
123938,I,7.7,0.85,0.58,4.3,,
123937,O,7.8,1.02,0.4,4.6,,
123937,I,7.8,0.86,0.41,4.2,,
123939,O,7.9,0.82,0.43,4.3,,
123939,I,7.8,1.55,0.44,4.5,,
123941,O,7.7,1.01,0.5,4.6,,
123941,I,7.8,0.96,0.52,5,,
123940,O,7.9,1.05,0.49,5.2,,
123940,I,7.9,0.86,0.52,4.8,,
123950,O,7.9,0.96,0.57,4.6,,
123950,I,7.8,1.72,0.6,4.4,,
123953,O,7.6,1.14,0.5,4.2,,
123953,I,7.7,1.72,0.52,4.5,,
123951,O,7.8,1.88,0.62,4.6,,
123951,I,7.8,1.05,0.61,5.2,,
123954,O,7.8,1.35,0.62,5.2,,
123954,I,7.8,2.08,0.65,6.7,,
123956,O,7.9,1.5,0.81,6.5,,
123956,I,7.9,1.1,0.78,8.8,,
123955,O,7.6,1.01,0.62,7.6,,
123955,I,7.6,0.81,0.6,6.4,,
123957,O,7.7,0.6,0.87,8.5,,
123957,I,7.8,0.5,0.85,11.8,,
123959,O,7.9,0.56,0.66,5.5,,
123959,I,7.9,0.68,0.64,5.4,,
123958,O,7.9,0.65,0.62,4.9,,
123958,I,7.9,0.65,0.6,4.6,,
124218,O,7.9,0.345,0.62,8.2,,
124218,I,7.9,0.361,0.6,7.5,,
110996,O,8,0.271,0.62,5.5,,
110996,I,7.9,0.282,0.6,5,,
110669,O,8,0.18,0.6,6.3,,
110669,I,8,0.19,0.6,6.6,,
124191,O,7.9,0.409,1,9,,
124191,I,7.8,0.45,0.98,8.4,,
124192,O,7.7,0.324,0.74,6.6,,
124192,I,7.7,0.351,0.7,6.8,,
123973,O,7.8,0.249,0.69,5.6,,
123973,I,7.7,0.262,0.7,6.1,,
110890,O,7.7,0.285,0.58,5.3,,
110890,I,7.7,0.3,0.55,5,,
110887,O,7.8,0.396,0.87,7.5,,
110887,I,7.7,0.401,0.9,6,,
123678,O,7.6,0.44,0.35,5.5,,
123678,I,7.5,0.46,0.3,5,,
123983,O,7.9,0.525,0.7,4.3,,
123983,I,8,0.55,0.7,5,,
123004,O,7.3,0.546,1.01,8.5,,
123004,I,7.3,0.551,1,8,,
123960,O,7.9,0.554,0.46,5.2,,
123960,I,8,0.52,0.49,5,,
123684,O,7.7,0.735,0.9,7.2,,
123684,I,7.7,0.614,0.94,7,,
124231,O,8,0.408,0.64,5.5,,
124231,I,8.1,0.315,0.6,5,,
110897,O,8,0.23,0.54,5.7,,
110897,I,8,0.125,0.5,6,,
110864,O,8.1,0.21,0.43,4.3,,
110864,I,8,0.185,0.4,4.4,,
123684,O,7.7,0.35,0.5,4.6,,
123684,I,7.7,0.31,0.47,4.5,,
123967,O,8,0.515,0.6,7.2,,
123967,I,8.1,0.466,0.58,5.6,,
123968,O,7.8,0.99,0.47,5.8,,
123968,I,7.7,0.83,0.45,5.5,,
123967,O,7.8,0.56,0.54,6.2,,
123967,I,7.9,0.61,0.55,6.1,,
123969,O,8.2,0.34,0.38,5,,
123969,I,8,0.35,0.3,4.7,,
123975,O,7.7,0.63,0.47,4.8,,
123975,I,7.8,0.52,0.4,4.5,,
123974,O,7.7,0.91,0.61,5.2,,
123974,I,7.7,0.76,0.56,5.4,,
123976,O,7.6,0.96,0.67,5.5,,
123976,I,7.7,0.87,0.62,5.3,,
123978,O,7.7,0.89,0.72,5.3,,
123978,I,7.6,0.64,0.62,5.6,,
123977,O,7.5,0.81,0.26,4,,
123977,I,7.5,0.96,0.21,4.2,,
123979,O,7.6,0.86,0.36,4.1,,
123979,I,7.7,0.95,0.26,4.2,,
123981,O,7.6,0.94,0.52,5,,
123981,I,7.6,0.65,0.57,4.2,,
123980,O,7.7,0.6,0.52,4.6,,
123980,I,7.7,0.56,0.47,4.8,,
123981,O,7.6,0.9,0.57,5.8,,
123981,I,7.6,1.01,0.62,4.8,,
123982,O,7.7,1.01,0.72,4.5,,
123982,I,7.7,0.97,0.67,4.6,,
123984,O,7.6,0.93,0.47,4.9,,
123984,I,7.7,1.01,0.41,5,,
123986,O,7.7,1.5,0.52,4.2,,
123986,I,7.7,1.03,0.57,4.5,,
123985,O,7.6,0.84,0.26,4.2,,
123985,I,7.7,0.92,0.41,4,,
123987,O,7.6,1.02,0.36,4.1,,
123987,I,7.7,1.1,0.21,4.2,,
123989,O,7.6,1.05,0.52,5,,
123989,I,7.6,0.98,0.57,5.2,,
123988,O,7.9,1.21,0.41,5.4,,
123988,I,7.5,1.13,0.47,4.9,,
123990,O,7.7,1.08,0.26,4,,
123990,I,7.7,0.98,0.21,4.2,,
123998,O,7.6,0.85,0.31,4.3,,
123998,I,7.6,1.02,0.36,4.6,,
123992,O,7.5,0.86,0.31,4.2,,
123992,I,7.5,0.82,0.41,4.3,,
123999,O,7.5,1.55,0.31,4.5,,
123999,I,7.6,1.01,0.26,4.6,,
124001,O,7.9,0.96,0.52,5,,
124001,I,7.8,1.05,0.47,5.2,,
124000,O,7.9,0.86,0.52,4.8,,
124000,I,7.8,0.96,0.57,4.6,,
124002,O,7.6,1.72,0.78,4.4,,
124002,I,7.7,1.14,0.93,4.2,,
124004,O,7.8,1.72,0.52,4.5,,
124004,I,7.7,1.88,0.62,4.6,,
124003,O,7.8,1.05,0.78,5.2,,
124003,I,7.8,1.35,0.62,5.2,,
124005,O,7.9,0.96,0.78,4.4,,
124005,I,7.9,0.76,0.6,6.5,,
124007,O,7.6,1.1,0.53,8.8,,
124007,I,7.6,1.01,0.62,4.9,,
124006,O,7.7,0.81,0.81,6.4,,
124006,I,7.8,0.6,0.7,7.2,23-08-2021,
122963,O,7.9,0.35,0.5,7,,
122963,I,8,0.31,0.5,7.2,,
122630,O,8,0.32,0.4,6,,
122630,I,8,0.28,0.5,6.2,,
122746,O,7.9,0.35,0.6,8.3,,
122746,I,7.9,0.31,0.59,8,,
122964,O,7.7,0.52,0.62,8.5,,
122964,I,7.6,0.49,0.6,8,,
122947,O,7.5,0.29,0.35,6.2,,
122947,I,7.5,0.21,0.3,6,,
122937,O,7.9,0.33,0.5,5.7,,
122937,I,7.8,0.36,0.5,5.4,,
122753,O,7.8,0.53,0.52,6.8,,
122753,I,7.9,0.77,0.5,8,,
122939,O,7.8,0.31,0.47,8.5,,
122939,I,7.8,0.32,0.5,8.4,,
122936,O,7.7,0.28,0.55,10.2,,
122936,I,7.6,0.26,0.5,10,,
123044,O,7.6,0.21,0.41,8.2,,
123044,I,7.6,0.22,0.43,8.4,,
124188,O,8.1,0.85,0.57,6.6,,
124188,I,8.2,0.77,0.63,6.4,,
124220,O,8.1,0.69,0.43,6,,
124220,I,8.1,0.65,0.47,6.3,,
110872,O,8.2,0.23,0.52,5.5,,
110872,I,8.2,0.21,0.5,5,,
123983,O,7.9,0.582,0.63,10.2,,
123983,I,7.9,0.59,0.62,9.7,,
124007,O,8.1,0.63,0.57,8.5,,
124007,I,8.2,0.61,0.54,8.2,,
123696,O,8,0.63,0.62,8.2,,
123696,I,8,0.75,0.6,8,,
123724,O,8,0.43,0.57,6.8,,
123724,I,8,0.38,0.55,6,,
123714,O,8.3,0.24,0.43,5.5,,
123714,I,8.2,0.31,0.41,6,,
123045,O,8.1,0.18,0.47,5.2,,
123045,I,8.1,0.19,0.45,5,,
122761,O,7.9,1.93,0.52,6.6,,
122761,I,7.9,1.9,0.5,6.1,,
122847,O,8.2,0.58,0.45,5.5,,
122847,I,8.2,0.57,0.44,5,,
122934,O,7.5,1.98,0.41,8.4,,
122934,I,7.5,1.8,0.4,8,,
122790,O,7.7,1.5,0.43,6,,
122790,I,7.7,1.47,0.47,3.5,,
123064,O,8.3,0.16,0.35,6.5,,
123064,I,8.2,0.17,0.38,6.2,,
122879,O,7.8,0.81,0.54,5.5,,
122879,I,7.8,0.93,0.51,5,.,
122792,O,8,0.58,0.4,7.4,,
122792,I,8,0.56,0.38,7,,
122922,O,8.2,0.54,0.48,5,,
122922,I,8.1,0.47,0.47,4.5,,
122906,O,7.4,2.1,0.84,6.3,,
122906,I,7.4,2,0.77,5.5,,
122907,O,7.5,2.5,0.65,8,,
122907,I,7.5,2.3,0.69,7.5,,
122911,O,7.9,0.63,0.55,6.5,,
122911,I,7.9,0.61,0.52,7,,
122941,O,7.9,0.35,0.62,8.8,,
122941,I,7.9,0.31,0.6,8.5,,
122936,O,8.3,0.25,0.43,5.5,,
122936,I,8.3,0.23,0.4,5,,
123045,O,8.4,0.12,0.31,4.4,,
123045,I,8.3,0.18,0.26,4,,
122938,O,7.6,0.78,0.41,6.1,,
122938,I,7.6,0.73,0.4,5.5,,
122741,O,7.7,0.24,0.31,3.5,,
122741,I,7.7,0.25,0.3,3.2,,
122934,O,7.9,0.84,0.28,3,,
122934,I,7.9,0.8,0.28,3.5,,
122935,O,8.1,0.43,0.2,3.7,,
122935,I,8.1,0.41,0.19,4,,
122737,O,8.2,0.23,0.24,3.2,,
122737,I,8.2,0.26,0.35,3.5,,
122938,O,8.1,0.14,0.48,3.6,,
122938,I,8.1,0.15,0.41,3.8,,
123944,O,8,0.49,0.4,3.2,,
123944,I,8,0.45,0.39,3,,
123941,O,7.8,0.34,0.3,4,,
122941,I,7.8,0.32,0.29,3.5,,
123369,O,8.2,0.69,0.32,3,,
123369,I,8.2,0.54,0.3,3.1,,
123098,O,7.6,4.1,0.29,3.2,,
123098,I,7.7,4,0.25,3.3,,
123944,O,8,0.86,0.26,3,,
123944,I,8,0.83,0.24,3.5,,
123356,O,7.9,0.17,0.26,4.5,,
123356,I,7.9,0.15,0.2,3.5,,
123364,O,8.1,0.27,0.31,4,,
123364,I,8.1,0.25,0.26,3.7,,
123096,O,7.9,0.19,0.3,3,,
123096,I,7.9,0.17,0.29,3.2,,
123099,O,8,0.13,0.28,3.5,,
123099,I,8,0.15,0.2,3.7,,
123339,O,8,0.64,0.31,3.4,,
123339,I,8,0.48,0.29,4.5,,
123452,O,7.8,0.18,0.31,4.1,,
123452,I,7.8,0.19,0.3,3.7,,
123455,O,7.7,0.45,0.29,3.2,,
123455,I,7.7,0.4,0.26,3.5,,
124008,O,7.8,0.82,0.62,4.7,,
124008,I,7.7,0.71,0.6,5.5,,
124190,O,7.8,0.6,0.54,5.3,,
124190,I,7.6,0.65,0.55,5.1,,
124009,O,7.5,0.83,0.5,5.5,,
124009,I,7.5,1.02,0.52,5.5,,
124191,O,7.6,1.4,0.57,5.6,,
124191,I,7.6,1.23,0.55,6.2,,
124192,O,7.5,1.01,0.48,6.5,,
124192,I,7.6,0.54,0.51,5.5,,
124191,O,7.6,0.34,0.5,5,,
124191,I,7.7,0.85,0.52,5.2,,
124192,O,7.6,0.55,0.57,5.5,,
124192,I,7.7,0.88,0.41,4.8,,
124194,O,7.8,0.62,0.47,5.1,,
124194,I,7.7,1.3,0.64,5.1,,
124193,O,7.7,0.92,0.6,5.4,,
124193,I,7.5,1.2,0.58,5.2,,
124195,O,7.6,0.92,0.4,5.5,,
124195,I,7.6,1.1,0.41,5.6,,
124197,O,7.4,0.95,0.43,5.4,,
124197,I,7.8,1.09,0.44,5.2,,
124196,O,7.9,1.01,0.5,5,,
124196,I,7.9,0.94,0.52,5.2,,
124207,O,7.9,0.96,0.49,5,,
124207,I,7.8,1.22,0.52,4.6,,
124209,O,7.6,0.96,0.57,4.5,,
124209,I,7.8,1.09,0.6,5.2,,
124208,O,7.9,1,0.5,5.5,,
124208,I,7.5,1.01,0.52,4.4,,
124210,O,7.7,0.93,0.62,4.5,,
124210,I,7.8,0.93,0.61,5,,
124212,O,7.6,0.73,0.62,5.2,,
124212,I,7.9,0.75,0.65,5.5,,
124211,O,7.8,0.93,0.81,5,,
124211,I,7.7,1.93,0.78,4.6,,
124213,O,7.7,1.74,0.62,4.1,,
124213,I,7.5,1.21,0.6,4.5,,
124215,O,7.6,1.1,0.87,4.7,,
124215,I,7.4,1.03,0.85,4.3,,
124214,O,7.6,0.97,0.66,4.5,,
124214,I,7.8,1.12,0.64,4.9,,
124216,O,7.8,0.98,0.62,5.1,,
124216,I,7.8,1.02,0.6,4.8,,
124236,O,7.8,0.97,0.61,5,,
124236,I,7.6,0.93,0.6,4.8,,
124217,O,8,1.08,0.34,4.2,,
124217,I,7.6,0.91,0.41,5.2,,
124237,O,7.8,0.88,0.72,5.5,,
124237,I,7.8,1.01,0.67,5.2,,
124239,O,7.8,0.8,0.62,5.3,,
124239,I,7.8,0.82,0.52,5.6,,
124238,O,7.9,0.61,0.67,4,,
124238,I,7.9,0.431,0.6,4.2,,
124240,O,7.9,0.45,0.57,4.1,,
124240,I,7.8,1.12,0.56,4.2,,
110641,O,7.6,1.29,0.78,5,,
110641,I,7.6,0.9,0.72,4.2,,
124241,O,7.6,0.93,0.62,4.6,,
124241,I,7.6,0.96,0.26,4.8,,
110642,O,7.8,1.14,0.21,5.8,,
110642,I,7.8,1.12,0.51,4.8,,
110645,O,7.7,1.21,0.5,4.5,,
110645,I,7.7,0.32,0.52,4.6,,
110644,O,7.7,0.351,0.57,4.9,,
110644,I,7.8,1.13,0.41,5,,
110646,O,7.8,1.41,0.47,4.2,,
110646,I,7.8,0.98,0.64,4.5,,
110649,O,7.9,1.25,0.6,4.2,,
110649,I,7.9,1.14,0.58,4,,
110648,O,7.9,1.67,0.4,4.1,,
110648,I,7.8,1.62,0.41,4.2,,
110657,O,7.7,0.83,0.43,5,,
110657,I,7.6,0.71,0.44,5.2,,
110660,O,7.7,0.96,0.5,5.4,,
110660,I,7.7,0.85,0.52,4.9,,
110658,O,7.7,0.89,0.49,4,,
110658,I,7.8,0.91,0.52,4.2,,
110664,O,7.7,0.81,0.57,4.3,,
110664,I,7.8,0.96,0.6,4.6,,
110667,O,7.8,1.23,0.5,4.2,,
110667,I,7.8,1.68,0.52,4.3,,
110665,O,7.8,0.94,0.62,4.5,,
110665,I,7.7,1.6,0.61,4.6,,
110745,O,7.9,1.76,0.62,5,,
110745,I,7.9,1.95,0.65,5.2,,
110749,O,8,1.69,0.81,4.8,,
110749,I,7.9,1.5,0.78,4.6,,
110747,O,7.6,2.26,0.62,4.4,,
110747,I,7.6,1.95,0.6,4.2,,
110750,O,7.6,0.93,0.87,4.5,,
110750,I,7.6,1.01,0.85,4.6,,
110761,O,7.7,2.07,0.66,5.2,,
110761,I,7.7,2.17,0.64,5.2,,
110753,O,7.7,1.16,0.62,6.7,,
110753,I,7.9,1.29,0.6,6.5,,
110860,O,7.8,2.46,0.61,8.8,,
110860,I,7.7,0.85,0.6,7.6,,
110869,O,7.7,0.67,0.34,6.4,,
110869,I,7.7,0.44,0.41,8.5,,
110868,O,7.5,0.53,0.72,11.8,,
110868,I,7.4,1.13,0.67,5.5,,
110870,O,7.4,1.08,0.62,5.4,,
110870,I,7.5,0.98,0.52,4.9,,
110883,O,8.1,0.85,0.67,4.6,,
110883,I,7.9,1.02,0.6,8.2,,
110873,O,8,0.86,0.57,7.5,,
110873,I,7.9,0.82,0.56,5.5,,
111000,O,7.5,1.55,0.78,5,,
111000,I,7.4,1.01,0.72,6.3,,
123678,O,7.4,0.96,0.62,6.6,,
123678,I,7.5,1.05,0.26,9,,
111016,O,8,0.86,0.21,8.4,,
111016,I,8.1,0.96,0.3,6.6,,
123721,O,7.9,1.72,0.5,6.8,,
123721,I,7.9,1.14,0.4,5.6,,
123723,O,7.8,1.72,0.6,6.1,,
123723,I,7.7,1.88,0.69,5.3,,
123722,O,7.7,1.05,0.7,5,,
123722,I,7.8,1.35,0.58,7.5,,
123724,O,7.7,2.08,0.55,6,,
123724,I,7.7,1.5,0.87,5.5,,
123911,O,7.8,1.1,0.9,5,,
123911,I,7.8,1.01,0.35,4.3,,
123725,O,7.5,0.81,0.3,5,,
123725,I,7.6,0.6,0.7,8.5,,
123926,O,7.6,0.5,0.7,8,,
123926,I,7.6,0.56,1.01,5.2,,
123928,O,7.7,0.68,1,5,,
123928,I,7.4,0.65,0.46,7.2,,
123927,O,7.4,0.65,0.49,7,,
123927,I,7.4,0.345,0.9,5.5,,
123942,O,7.4,0.361,0.94,5,,
123942,I,7.4,0.271,0.64,5.7,,
123945,O,7.5,0.282,0.6,6,,
123945,I,7.8,0.18,0.54,4.3,,
123944,O,7.9,0.19,0.5,4.4,,
123944,I,7.9,0.409,0.43,4.6,,
123946,O,8,0.45,0.4,4.5,,
123946,I,7.9,0.324,0.5,7.2,,
123948,O,9.8,0.351,0.47,5.6,,
123948,I,7.8,0.249,0.6,5.8,,
123947,O,7.9,0.262,0.58,5.5,,
123947,I,8,0.285,0.47,6.2,,
123949,O,8,0.3,0.45,6.1,,
123949,I,8,0.396,0.54,5,,
123970,O,8.1,0.401,0.55,4.7,,
123970,I,7.8,0.44,0.38,4.8,,
123952,O,7.7,0.46,0.3,4.5,,
123952,I,7.8,0.525,0.47,5.2,,
123973,O,8,0.551,0.56,5.3,,
123973,I,8,0.554,0.67,5.3,,
123972,O,8,0.52,0.62,5.6,,
123972,I,7.8,0.735,0.72,4,,
124182,O,8.1,0.614,0.62,4.2,,
124182,I,8,0.408,0.26,4.1,,
124184,O,8,0.315,0.21,4.2,,
124184,I,8,0.23,0.36,5,,
124183,O,8.2,0.125,0.26,4.2,,
124183,I,8.1,0.21,0.52,4.6,,
124185,O,8.1,0.185,0.57,4.8,,
124185,I,8.2,0.35,0.52,5.8,,
124187,O,8.3,0.31,0.47,4.8,,
124187,I,8.3,0.515,0.57,4.5,,
124186,O,8.2,0.466,0.62,4.6,,
124186,I,8.3,0.99,0.72,4.9,,
124188,O,8,0.83,0.67,5,,
124188,I,7.9,0.56,0.47,4.2,,
